OBJECTID,AQI,Category,ResponsiblePollutant,PollenCount,PollenType,PollenDescription,ReportDateTime,Date,Week,Month,DayOfWeek,AQI_Level,Pollen_Level
1,47,Good,PM2.5,9,Juniper, Maple,4/4/2025 5:00,4/4/2025,14,4,Friday,Good,Moderate
2,49,Good,PM2.5,1,Elm, Juniper,4/3/2025 5:00,4/3/2025,14,4,Thursday,Good,Low
3,51,Moderate,PM2.5,11,Elm, Juniper,4/2/2025 5:00,4/2/2025,14,4,Wednesday,Moderate,Moderate
4,50,Good,PM2.5,10,Elm, Juniper,4/1/2025 5:00,4/1/2025,14,4,Tuesday,Good,Moderate
5,50,Good,PM2.5,2,Elm, Juniper,3/31/2025 5:00,3/31/2025,14,3,Monday,Good,Low
6,55,Moderate,PM2.5,8,Elm, Juniper,3/30/2025 5:00,3/30/2025,13,3,Sunday,Moderate,Moderate
7,64,Moderate,PM2.5,9,Elm, Juniper,3/29/2025 5:00,3/29/2025,13,3,Saturday,Moderate,Moderate
8,60,Moderate,PM2.5,9,Elm, Juniper,3/28/2025 5:00,3/28/2025,13,3,Friday,Moderate,Moderate
9,51,Moderate,PM2.5,0,Unknown,Not on file,3/27/2025 5:00,3/27/2025,13,3,Thursday,Moderate,Low
10,50,Good,PM2.5,0,Unknown,Not on file,3/26/2025 5:00,3/26/2025,13,3,Wednesday,Good,Low
11,50,Good,PM2.5,0,Unknown,Not on file,3/25/2025 5:00,3/25/2025,13,3,Tuesday,Good,Low
12,50,Good,PM2.5,0,Unknown,Not on file,3/24/2025 5:00,3/24/2025,13,3,Monday,Good,Low
13,50,Good,PM2.5,0,Unknown,Not on file,3/23/2025 5:00,3/23/2025,12,3,Sunday,Good,Low
14,49,Good,PM2.5,6,Juniper, Maple,3/22/2025 5:00,3/22/2025,12,3,Saturday,Good,Moderate
15,47,Good,PM2.5,6,Juniper, Maple,3/21/2025 5:00,3/21/2025,12,3,Friday,Good,Moderate
16,49,Good,PM2.5,6,Juniper, Maple,3/20/2025 5:00,3/20/2025,12,3,Thursday,Good,Moderate
17,53,Moderate,PM2.5,10,Juniper, Maple,3/19/2025 5:00,3/19/2025,12,3,Wednesday,Moderate,Moderate
18,53,Moderate,PM2.5,10,Juniper, Maple,3/18/2025 5:00,3/18/2025,12,3,Tuesday,Moderate,Moderate
19,50,Good,PM2.5,9,Juniper, Maple,3/17/2025 5:00,3/17/2025,12,3,Monday,Good,Moderate
20,99,Moderate,PM2.5,5,Juniper, Maple,3/16/2025 5:00,3/16/2025,11,3,Sunday,Moderate,Low
21,50,Good,PM2.5,1,Juniper, Maple,3/15/2025 5:00,3/15/2025,11,3,Saturday,Good,Low
22,53,Moderate,PM2.5,11,Juniper, Maple,3/14/2025 5:00,3/14/2025,11,3,Friday,Moderate,Moderate
23,53,Moderate,PM2.5,8,Alder, Juniper,3/13/2025 5:00,3/13/2025,11,3,Thursday,Moderate,Moderate
24,53,Moderate,PM2.5,10,Alder, Juniper,3/12/2025 5:00,3/12/2025,11,3,Wednesday,Moderate,Moderate
25,49,Good,PM2.5,9,Alder, Juniper,3/11/2025 5:00,3/11/2025,11,3,Tuesday,Good,Moderate
26,49,Good,PM2.5,9,Alder, Juniper,3/10/2025 5:00,3/10/2025,11,3,Monday,Good,Moderate
27,47,Good,PM2.5,9,Alder, Juniper,3/9/2025 6:00,3/9/2025,10,3,Sunday,Good,Moderate
28,47,Good,PM2.5,9,Alder, Juniper,3/8/2025 6:00,3/8/2025,10,3,Saturday,Good,Moderate
29,50,Good,PM2.5,9,Alder, Juniper,3/7/2025 6:00,3/7/2025,10,3,Friday,Good,Moderate
30,45,Good,Ozone 8-hr,7,Alder, Juniper,3/6/2025 6:00,3/6/2025,10,3,Thursday,Good,Moderate
31,45,Good,Ozone 8-hr,4,Alder, Juniper,3/5/2025 6:00,3/5/2025,10,3,Wednesday,Good,Low
32,50,Good,PM2.5,7,Alder, Juniper,3/4/2025 6:00,3/4/2025,10,3,Tuesday,Good,Moderate
33,47,Good,PM2.5,6,Alder, Juniper,3/3/2025 6:00,3/3/2025,10,3,Monday,Good,Moderate
34,32,Good,PM2.5,6,Alder, Juniper,3/2/2025 6:00,3/2/2025,9,3,Sunday,Good,Moderate
35,39,Good,PM2.5,7,Alder, Juniper,3/1/2025 6:00,3/1/2025,9,3,Saturday,Good,Moderate
36,47,Good,PM2.5,0,Unknown,Not on file,2/28/2025 6:00,2/28/2025,9,2,Friday,Good,Low
37,49,Good,PM2.5,0,Unknown,Not on file,2/27/2025 6:00,2/27/2025,9,2,Thursday,Good,Low
38,51,Moderate,PM2.5,0,Unknown,Not on file,2/26/2025 6:00,2/26/2025,9,2,Wednesday,Moderate,Low
39,56,Moderate,PM2.5,0,Unknown,Not on file,2/25/2025 6:00,2/25/2025,9,2,Tuesday,Moderate,Low
40,52,Moderate,PM2.5,0,Unknown,Not on file,2/24/2025 6:00,2/24/2025,9,2,Monday,Moderate,Low
41,53,Moderate,PM2.5,0,Unknown,Not on file,2/23/2025 6:00,2/23/2025,8,2,Sunday,Moderate,Low
42,51,Moderate,PM2.5,0,Unknown,Not on file,2/22/2025 6:00,2/22/2025,8,2,Saturday,Moderate,Low
43,47,Good,PM2.5,0,Unknown,Not on file,2/21/2025 6:00,2/21/2025,8,2,Friday,Good,Low
44,50,Good,PM2.5,0,Unknown,Not on file,2/20/2025 6:00,2/20/2025,8,2,Thursday,Good,Low
45,44,Good,PM2.5,0,Unknown,Not on file,2/19/2025 6:00,2/19/2025,8,2,Wednesday,Good,Low
46,43,Good,PM2.5,0,Unknown,Not on file,2/18/2025 6:00,2/18/2025,8,2,Tuesday,Good,Low
47,44,Good,PM2.5,0,Unknown,Not on file,2/17/2025 6:00,2/17/2025,8,2,Monday,Good,Low
48,51,Moderate,PM2.5,0,Unknown,Not on file,2/16/2025 6:00,2/16/2025,7,2,Sunday,Moderate,Low
49,49,Good,PM2.5,0,Unknown,Not on file,2/15/2025 6:00,2/15/2025,7,2,Saturday,Good,Low
50,49,Good,PM2.5,0,Unknown,Not on file,2/14/2025 6:00,2/14/2025,7,2,Friday,Good,Low
51,51,Moderate,PM2.5,0,Unknown,Not on file,2/13/2025 6:00,2/13/2025,7,2,Thursday,Moderate,Low
52,39,Good,PM2.5,0,Unknown,Not on file,2/12/2025 6:00,2/12/2025,7,2,Wednesday,Good,Low
53,52,Moderate,PM2.5,0,Unknown,Not on file,2/11/2025 6:00,2/11/2025,7,2,Tuesday,Moderate,Low
54,50,Good,PM2.5,0,Unknown,Not on file,2/10/2025 6:00,2/10/2025,7,2,Monday,Good,Low
55,50,Good,PM2.5,0,Unknown,Not on file,2/9/2025 6:00,2/9/2025,6,2,Sunday,Good,Low
56,50,Good,PM2.5,0,Unknown,Not on file,2/8/2025 6:00,2/8/2025,6,2,Saturday,Good,Low
57,50,Good,PM2.5,0,Unknown,Not on file,2/7/2025 6:00,2/7/2025,6,2,Friday,Good,Low
58,51,Moderate,PM2.5,0,Unknown,Not on file,2/6/2025 6:00,2/6/2025,6,2,Thursday,Moderate,Low
59,50,Good,PM2.5,0,Unknown,Not on file,2/5/2025 6:00,2/5/2025,6,2,Wednesday,Good,Low
60,50,Good,PM2.5,0,Unknown,Not on file,2/4/2025 6:00,2/4/2025,6,2,Tuesday,Good,Low
61,51,Moderate,PM2.5,0,Unknown,Not on file,2/3/2025 6:00,2/3/2025,6,2,Monday,Moderate,Low
62,51,Moderate,PM2.5,0,Unknown,Not on file,2/2/2025 6:00,2/2/2025,5,2,Sunday,Moderate,Low
63,50,Good,PM2.5,0,Unknown,Not on file,2/1/2025 6:00,2/1/2025,5,2,Saturday,Good,Low
64,50,Good,PM2.5,0,Unknown,Not on file,1/31/2025 6:00,1/31/2025,5,1,Friday,Good,Low
65,52,Moderate,PM2.5,0,Unknown,Not on file,1/30/2025 6:00,1/30/2025,5,1,Thursday,Moderate,Low
66,50,Good,PM2.5,0,Unknown,Not on file,1/29/2025 6:00,1/29/2025,5,1,Wednesday,Good,Low
67,53,Moderate,PM2.5,0,Unknown,Not on file,1/28/2025 6:00,1/28/2025,5,1,Tuesday,Moderate,Low
68,52,Moderate,PM2.5,0,Unknown,Not on file,1/27/2025 6:00,1/27/2025,5,1,Monday,Moderate,Low
69,52,Moderate,PM2.5,0,Unknown,Not on file,1/26/2025 6:00,1/26/2025,4,1,Sunday,Moderate,Low
70,55,Moderate,PM2.5,0,Unknown,Not on file,1/25/2025 6:00,1/25/2025,4,1,Saturday,Moderate,Low
71,52,Moderate,PM2.5,0,Unknown,Not on file,1/24/2025 6:00,1/24/2025,4,1,Friday,Moderate,Low
72,50,Good,PM2.5,0,Unknown,Not on file,1/23/2025 6:00,1/23/2025,4,1,Thursday,Good,Low
73,42,Good,PM2.5,0,Unknown,Not on file,1/22/2025 6:00,1/22/2025,4,1,Wednesday,Good,Low
74,43,Good,PM2.5,0,Unknown,Not on file,1/21/2025 6:00,1/21/2025,4,1,Tuesday,Good,Low
75,44,Good,PM2.5,0,Unknown,Not on file,1/20/2025 6:00,1/20/2025,4,1,Monday,Good,Low
76,50,Good,PM2.5,0,Unknown,Not on file,1/19/2025 6:00,1/19/2025,3,1,Sunday,Good,Low
77,50,Good,PM2.5,0,Unknown,Not on file,1/18/2025 6:00,1/18/2025,3,1,Saturday,Good,Low
78,50,Good,PM2.5,0,Unknown,Not on file,1/17/2025 6:00,1/17/2025,3,1,Friday,Good,Low
79,51,Moderate,PM2.5,0,Unknown,Not on file,1/16/2025 6:00,1/16/2025,3,1,Thursday,Moderate,Low
80,50,Good,PM2.5,0,Unknown,Not on file,1/15/2025 6:00,1/15/2025,3,1,Wednesday,Good,Low
81,53,Moderate,PM2.5,0,Unknown,Not on file,1/14/2025 6:00,1/14/2025,3,1,Tuesday,Moderate,Low
82,53,Moderate,PM2.5,0,Unknown,Not on file,1/13/2025 6:00,1/13/2025,3,1,Monday,Moderate,Low
83,50,Good,PM2.5,0,Unknown,Not on file,1/12/2025 6:00,1/12/2025,2,1,Sunday,Good,Low
84,53,Moderate,PM2.5,0,Unknown,Not on file,1/11/2025 6:00,1/11/2025,2,1,Saturday,Moderate,Low
